,,Mg/Ca,Mg/Ca,Mg/Ca,d18O,d18O,d18O,depthrange,depthrange,ddate,sal,sal,sal,d18Ow,d18Ow,d18Ow,Ctemp_min,Ctemp_min,Ctemp_min,Ctemp_max,Ctemp_max,Ctemp_max,Ctemp_mid,Ctemp_mid,Ctemp_mid
size_fraction,,250-350,350-500,500-1000,250-350,350-500,500-1000,min,max,,min,max,mid,min,max,mid,250-350,350-500,500-1000,250-350,350-500,500-1000,250-350,350-500,500-1000
,Date,,,,,,,,,,,,,,,,,,,,,,,,
G. aequilateralis,1981-04-01,,2.77,,,0.26,,50.0,75.0,4108,36.51+/-0.09,36.51+/-0.09,36.51+/-0.09,1.11+/-0.05,1.11+/-0.05,1.11+/-0.05,nan+/-nan,19.46+/-0.23,nan+/-nan,nan+/-nan,19.46+/-0.23,nan+/-nan,nan+/-nan,19.46+/-0.23,nan+/-nan
G. aequilateralis,1981-06-01,,3.67,,,0.12,,50.0,75.0,4169,36.51+/-0.09,36.50+/-0.09,36.51+/-0.09,1.11+/-0.05,1.11+/-0.05,1.11+/-0.05,nan+/-nan,20.09+/-0.23,nan+/-nan,nan+/-nan,20.08+/-0.23,nan+/-nan,nan+/-nan,20.09+/-0.23,nan+/-nan
G. aequilateralis,1981-08-01,,4.0,,,-0.05,,50.0,75.0,4230,36.50+/-0.09,36.50+/-0.09,36.50+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.84+/-0.23,nan+/-nan,nan+/-nan,20.85+/-0.23,nan+/-nan,nan+/-nan,20.85+/-0.23,nan+/-nan
G. aequilateralis,1981-11-01,,4.62,4.09,,-0.57,-0.56,50.0,75.0,4322,36.50+/-0.09,36.50+/-0.09,36.50+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,23.25+/-0.23,23.20+/-0.23,nan+/-nan,23.24+/-0.23,23.20+/-0.23,nan+/-nan,23.24+/-0.23,23.20+/-0.23
G. aequilateralis,1982-01-01,,3.77,4.01,,,-0.26,50.0,75.0,4383,36.50+/-0.09,36.50+/-0.09,36.50+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,nan+/-nan,21.81+/-0.23,nan+/-nan,nan+/-nan,21.80+/-0.23,nan+/-nan,nan+/-nan,21.81+/-0.23
G. aequilateralis,1982-03-01,,2.97,3.18,,-0.2,0.23,50.0,75.0,4442,36.50+/-0.09,36.50+/-0.09,36.50+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,21.53+/-0.23,19.58+/-0.23,nan+/-nan,21.52+/-0.23,19.57+/-0.23,nan+/-nan,21.53+/-0.23,19.57+/-0.23
G. aequilateralis,1982-05-01,,3.25,5.01,,-0.21,0.03,50.0,75.0,4503,36.50+/-0.09,36.50+/-0.09,36.50+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,21.57+/-0.23,20.48+/-0.23,nan+/-nan,21.57+/-0.23,20.47+/-0.23,nan+/-nan,21.57+/-0.23,20.47+/-0.23
G. aequilateralis,1982-07-01,,3.34,3.47,,-0.24,0.02,50.0,75.0,4564,36.50+/-0.09,36.49+/-0.09,36.50+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,21.71+/-0.23,20.52+/-0.23,nan+/-nan,21.70+/-0.23,20.51+/-0.23,nan+/-nan,21.70+/-0.23,20.51+/-0.23
G. aequilateralis,1982-11-01,,3.94,,,-0.5,,50.0,75.0,4687,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,22.90+/-0.23,nan+/-nan,nan+/-nan,22.90+/-0.23,nan+/-nan,nan+/-nan,22.90+/-0.23,nan+/-nan
G. aequilateralis,1983-02-01,,3.35,3.42,,-0.02,0.02,50.0,75.0,4779,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.69+/-0.23,20.51+/-0.23,nan+/-nan,20.68+/-0.23,20.50+/-0.23,nan+/-nan,20.69+/-0.23,20.50+/-0.23
G. aequilateralis,1983-04-01,,3.78,3.32,,0.02,0.01,50.0,75.0,4838,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.51+/-0.23,20.55+/-0.23,nan+/-nan,20.50+/-0.23,20.55+/-0.23,nan+/-nan,20.50+/-0.23,20.55+/-0.23
G. aequilateralis,1983-06-01,,3.5,,,-0.03,,50.0,75.0,4899,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.73+/-0.23,nan+/-nan,nan+/-nan,20.73+/-0.23,nan+/-nan,nan+/-nan,20.73+/-0.23,nan+/-nan
G. aequilateralis,1983-08-01,,3.78,4.58,,-0.19,-0.25,50.0,75.0,4960,36.48+/-0.09,36.49+/-0.09,36.49+/-0.09,1.09+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,21.45+/-0.23,21.72+/-0.23,nan+/-nan,21.46+/-0.23,21.73+/-0.23,nan+/-nan,21.46+/-0.23,21.73+/-0.23
G. aequilateralis,1983-10-01,,3.95,4.81,,-0.02,0.1,50.0,75.0,5021,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.68+/-0.23,20.13+/-0.23,nan+/-nan,20.68+/-0.23,20.13+/-0.23,nan+/-nan,20.68+/-0.23,20.13+/-0.23
G. aequilateralis,1983-12-01,,3.84,4.0,,-0.38,-0.29,50.0,75.0,5082,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,22.34+/-0.23,21.92+/-0.23,nan+/-nan,22.33+/-0.23,21.91+/-0.23,nan+/-nan,22.33+/-0.23,21.92+/-0.23
G. aequilateralis,1984-02-01,,3.69,,,-0.02,,50.0,75.0,5144,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.69+/-0.23,nan+/-nan,nan+/-nan,20.68+/-0.23,nan+/-nan,nan+/-nan,20.68+/-0.23,nan+/-nan
G. aequilateralis,1984-04-01,,3.2,4.36,,0.05,0.29,50.0,75.0,5204,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.37+/-0.23,19.29+/-0.23,nan+/-nan,20.36+/-0.23,19.28+/-0.23,nan+/-nan,20.36+/-0.23,19.28+/-0.23
